"ID";"Sex";"Regions";"Periods";"LiveBornChildren_3";"NetMigrationIncludingAdministrative_17"
"398";"T001038";"PV21  ";"1992JJ00";"    7587";"    -198"
"399";"T001038";"PV21  ";"1993JJ00";"    7614";"    1325"
"400";"T001038";"PV21  ";"1994JJ00";"    7467";"     636"
"401";"T001038";"PV21  ";"1995JJ00";"    7555";"     764"
"402";"T001038";"PV21  ";"1996JJ00";"    7424";"    1485"
"403";"T001038";"PV21  ";"1997JJ00";"    7548";"    1171"
"404";"T001038";"PV21  ";"1998JJ00";"    7719";"    1151"
"405";"T001038";"PV21  ";"1999JJ00";"    7799";"    1274"
"406";"T001038";"PV21  ";"2000JJ00";"    8009";"    3678"
"407";"T001038";"PV21  ";"2001JJ00";"    7912";"    3546"
"408";"T001038";"PV21  ";"2002JJ00";"    7987";"    1558"
"409";"T001038";"PV21  ";"2003JJ00";"    7932";"      -2"
"410";"T001038";"PV21  ";"2004JJ00";"    7551";"   -1046"
"411";"T001038";"PV21  ";"2005JJ00";"    7377";"   -2604"
"412";"T001038";"PV21  ";"2006JJ00";"    7233";"   -1435"
"413";"T001038";"PV21  ";"2007JJ00";"    7059";"    -680"
"414";"T001038";"PV21  ";"2008JJ00";"    7026";"      75"
"415";"T001038";"PV21  ";"2009JJ00";"    7109";"     -16"
"416";"T001038";"PV21  ";"2010JJ00";"    7012";"    -478"
"417";"T001038";"PV21  ";"2011JJ00";"    6655";"   -1058"
"418";"T001038";"PV21  ";"2012JJ00";"    6502";"    -979"
"419";"T001038";"PV21  ";"2013JJ00";"    6263";"    -919"
"420";"T001038";"PV21  ";"2014JJ00";"    6310";"    -563"
"421";"T001038";"PV21  ";"2015JJ00";"    6011";"    -173"
"422";"T001038";"PV21  ";"2016JJ00";"    6017";"    1117"
"423";"T001038";"PV21  ";"2017JJ00";"    5967";"     696"
"424";"T001038";"PV21  ";"2018JJ00";"    5779";"    1049"
"425";"T001038";"PV21  ";"2019JJ00";"    5957";"    2586"
"426";"T001038";"PV21  ";"2020JJ00";"    5841";"    2107"
"427";"T001038";"PV22  ";"1960JJ00";"    6766";"   -1238"
"428";"T001038";"PV22  ";"1961JJ00";"    6871";"    -154"
"429";"T001038";"PV22  ";"1962JJ00";"    6774";"     526"
"430";"T001038";"PV22  ";"1963JJ00";"    6913";"     990"
"431";"T001038";"PV22  ";"1964JJ00";"    7078";"    1502"
"432";"T001038";"PV22  ";"1965JJ00";"    7050";"    1487"
"433";"T001038";"PV22  ";"1966JJ00";"    7089";"    1259"
"434";"T001038";"PV22  ";"1967JJ00";"    6983";"    1706"
"435";"T001038";"PV22  ";"1968JJ00";"    7107";"    1505"
"436";"T001038";"PV22  ";"1969JJ00";"    7327";"    2347"
"437";"T001038";"PV22  ";"1970JJ00";"    7268";"    1696"
"438";"T001038";"PV22  ";"1971JJ00";"    6911";"    3238"
"439";"T001038";"PV22  ";"1972JJ00";"    6613";"    3322"
"440";"T001038";"PV22  ";"1973JJ00";"    6085";"    4420"
"441";"T001038";"PV22  ";"1974JJ00";"    5807";"    4532"
"442";"T001038";"PV22  ";"1975JJ00";"    5463";"    3183"
"443";"T001038";"PV22  ";"1976JJ00";"    5411";"    1884"
"444";"T001038";"PV22  ";"1977JJ00";"    5105";"    1261"
"445";"T001038";"PV22  ";"1978JJ00";"    5181";"    1120"
"446";"T001038";"PV22  ";"1979JJ00";"    5042";"     844"
"447";"T001038";"PV22  ";"1980JJ00";"    5352";"    1118"
"448";"T001038";"PV22  ";"1981JJ00";"    5186";"     325"
"449";"T001038";"PV22  ";"1982JJ00";"    4931";"    -357"
"450";"T001038";"PV22  ";"1983JJ00";"    4895";"    1304"
"451";"T001038";"PV22  ";"1984JJ00";"    5038";"     768"
"452";"T001038";"PV22  ";"1985JJ00";"    5234";"    1057"
"453";"T001038";"PV22  ";"1986JJ00";"    5305";"     650"
"454";"T001038";"PV22  ";"1987JJ00";"    5247";"     955"
"455";"T001038";"PV22  ";"1988JJ00";"    5230";"    1189"
"456";"T001038";"PV22  ";"1989JJ00";"    5090";"     773"
"457";"T001038";"PV22  ";"1990JJ00";"    5387";"    1117"
"458";"T001038";"PV22  ";"1991JJ00";"    5350";"     832"
"459";"T001038";"PV22  ";"1992JJ00";"    5250";"    1361"
"460";"T001038";"PV22  ";"1993JJ00";"    5412";"    2000"
"461";"T001038";"PV22  ";"1994JJ00";"    5256";"    2210"
"462";"T001038";"PV22  ";"1995JJ00";"    5305";"    1550"
"463";"T001038";"PV22  ";"1996JJ00";"    5349";"    2174"
"464";"T001038";"PV22  ";"1997JJ00";"    5421";"    2242"
"465";"T001038";"PV22  ";"1998JJ00";"    5640";"    1130"
"466";"T001038";"PV22  ";"1999JJ00";"    5770";"    1259"
"467";"T001038";"PV22  ";"2000JJ00";"    5822";"    3377"
"468";"T001038";"PV22  ";"2001JJ00";"    5842";"    2723"
"469";"T001038";"PV22  ";"2002JJ00";"    5763";"    1390"
"470";"T001038";"PV22  ";"2003JJ00";"    5516";"     -48"
"471";"T001038";"PV22  ";"2004JJ00";"    5320";"    -103"
"472";"T001038";"PV22  ";"2005JJ00";"    5099";"     276"
