,wijk,stadsdeel,year,woz-waarde
424,Slotermeer-Noordoost,Nieuw-West,2018,192389.0
425,Slotermeer-Zuidwest,Nieuw-West,2018,191064.0
426,Geuzenveld,Nieuw-West,2018,220329.0
427,Eendracht,Nieuw-West,2018,270374.0
428,Lutkemeer/Ookmeer,Nieuw-West,2018,483447.0
429,Osdorp-Oost,Nieuw-West,2018,207884.0
430,Osdorp-Midden,Nieuw-West,2018,224934.0
431,De Punt,Nieuw-West,2018,188823.0
432,Middelveldsche Akerpolder,Nieuw-West,2018,332670.0
433,Slotervaart-Noord,Nieuw-West,2018,256603.0
434,Overtoomse Veld,Nieuw-West,2018,228524.0
435,Westlandgracht,Nieuw-West,2018,224161.0
436,Sloter-/Riekerpolder,Nieuw-West,2018,330616.0
437,Slotervaart-Zuid,Nieuw-West,2018,246413.0
438,Zuidas,Zuid,2018,358804.0
439,Oude Pijp,Zuid,2018,382467.0
440,Nieuwe Pijp,Zuid,2018,360267.0
441,Zuid-Pijp,Zuid,2018,355106.0
442,Hoofddorppleinbuurt,Zuid,2018,355686.0
443,Schinkelbuurt,Zuid,2018,359277.0
444,Willemspark,Zuid,2018,914295.0
445,Museumkwartier,Zuid,2018,860067.0
446,Stadionbuurt,Zuid,2018,409450.0
447,Apollobuurt,Zuid,2018,1003743.0
448,Scheldebuurt,Zuid,2018,477590.0
449,IJselbuurt,Zuid,2018,369276.0
450,Rijnbuurt,Zuid,2018,350936.0
451,Prinses Irenebuurt eo,Zuid,2018,745698.0
452,Buitenveldert-West,Zuid,2018,373445.0
453,Buitenveldert-Oost,Zuid,2018,330366.0
454,Weesperzijde,Oost,2018,429196.0
455,Oosterparkbuurt,Oost,2018,351823.0
456,Dapperbuurt,Oost,2018,343221.0
457,Transvaalbuurt,Oost,2018,333393.0
458,Indische Buurt-West,Oost,2018,306433.0
459,Indische Buurt-Oost,Oost,2018,312058.0
460,Oostelijk Havengebied,Oost,2018,441577.0
461,Zeeburgereiland/Nieuwe Diep,Oost,2018,177096.0
462,IJburg-West,Oost,2018,402230.0
463,IJburg-Zuid,Oost,2018,394988.0
464,Frankendael,Oost,2018,318477.0
465,Middenmeer,Oost,2018,417857.0
466,Betondorp,Oost,2018,266711.0
467,De Omval/Overamstel,Oost,2018,218509.0
468,Volewijck,Noord,2018,212209.0
469,IJplein/Vogelbuurt,Noord,2018,235667.0
470,Tuindorp Nieuwendam,Noord,2018,231180.0
471,Tuindorp Buiksloot,Noord,2018,231942.0
472,Nieuwendammerdijk/Buiksloterdijk,Noord,2018,533710.0
473,Tuindorp Oostzaan,Noord,2018,241357.0
474,Oostzanerwerf,Noord,2018,251646.0
475,Kadoelen,Noord,2018,306344.0
476,Waterlandpleinbuurt,Noord,2018,226409.0
477,Buikslotermeer,Noord,2018,215792.0
478,Banne Buiksloot,Noord,2018,235716.0
479,Noordelijke IJ-oevers-West,Noord,2018,295055.0
480,Noordelijke IJ-oevers-Oost,Noord,2018,196081.0
481,Waterland,Noord,2018,565361.0
482,Elzenhagen,Noord,2018,387474.0
483,Amstel III/Bullewijk,Zuidoost,2018,81201.0
484,"Bijlmer-Centrum (D,F,H)",Zuidoost,2018,152427.0
485,"Bijlmer-Oost (E,G,K)",Zuidoost,2018,182291.0
486,Nellestein,Zuidoost,2018,170441.0
487,Holendrecht/Reigersbos,Zuidoost,2018,181189.0
488,Gein,Zuidoost,2018,199542.0
489,Driemond,Zuidoost,2018,267328.0
